"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_direction","source"
"GO:0070665","positive regulation of leukocyte proliferation","11/142","166/18986",0.0662650602409639,8.85991854742915,8.82927828014196,4.86107932918556e-08,1.89675576133029e-06,1.50063683745101e-06,"6693/729230/6480/1880/11151/923/3071/5588/5788/6352/916",11,"STA_vs_Unruptured","down","GO_BP"
"GO:0046632","alpha-beta T cell differentiation","10/142","133/18986",0.075187969924812,10.0529492745949,9.09470462629035,6.14082471129634e-08,2.35089308287175e-06,1.8599320128554e-06,"6693/864/3561/6775/3718/1880/3071/3702/10538/944",10,"STA_vs_Unruptured","down","GO_BP"
"GO:0050920","regulation of chemotaxis","12/142","216/18986",0.0555555555555556,7.42801251956182,8.24772891821951,8.2344160331709e-08,3.09400557987107e-06,2.4478527194124e-06,"1236/719/7852/729230/3576/1901/6480/1880/3071/3627/63940/6352",12,"STA_vs_Unruptured","down","GO_BP"
"GO:0042102","positive regulation of T cell proliferation","9/142","104/18986",0.0865384615384615,11.5705579631636,9.38325481066424,8.53585628343632e-08,3.14895498165315e-06,2.49132647506993e-06,"6693/729230/11151/923/3071/5588/5788/6352/916",9,"STA_vs_Unruptured","down","GO_BP"
"GO:0001906","cell killing","13/142","264/18986",0.0492424242424242,6.58392018779343,7.93100037331801,9.56270185301763e-08,3.46477179638799e-06,2.74118803117517e-06,"3500/7409/3576/11151/10578/115362/3820/3071/914/3627/10870/5788/3575",13,"STA_vs_Unruptured","down","GO_BP"
"GO:0036336","dendritic cell migration","6/142","31/18986",0.193548387096774,25.878237164925,12.0337637574949,9.93605732469151e-08,3.53688777399984e-06,2.79824329088727e-06,"1236/1234/7852/729230/1880/6352",6,"STA_vs_Unruptured","down","GO_BP"
"GO:0002819","regulation of adaptive immune response","12/142","221/18986",0.0542986425339367,7.25995793767128,8.12561409323463,1.05732838717495e-07,3.69882637513445e-06,2.92636259608313e-06,"6693/729230/924/3718/3071/7454/64092/5588/5788/8631/3575/10538",12,"STA_vs_Unruptured","down","GO_BP"
"GO:1990266","neutrophil migration","9/142","108/18986",0.0833333333333333,11.1420187793427,9.17532005632487,1.18488036547257e-07,4.07478349414212e-06,3.22380474102708e-06,"1236/719/7409/3576/5142/5293/3071/120425/3627",9,"STA_vs_Unruptured","down","GO_BP"
"GO:0042129","regulation of T cell proliferation","11/142","182/18986",0.0604395604395604,8.08102460919362,8.33239024118141,1.24565198342588e-07,4.2123797906185e-06,3.33266539425344e-06,"6693/10077/729230/11151/923/3071/5588/5788/6352/916/944",11,"STA_vs_Unruptured","down","GO_BP"
"GO:0050671","positive regulation of lymphocyte proliferation","10/142","145/18986",0.0689655172413793,9.22098105876639,8.62618164589632,1.39030941199756e-07,4.54989967248879e-06,3.59969754379674e-06,"6693/729230/1880/11151/923/3071/5588/5788/6352/916",10,"STA_vs_Unruptured","down","GO_BP"
