"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"RNF144B",4.85075640565945e-10,-5.68176558630482,0.004,0.167,1.47826801462472e-05,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"IKZF1",5.16384760159323e-10,-3.38844257878656,0.034,0.5,1.57368255658554e-05,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AOAH",6.06344921420454e-10,-3.70711244563621,0.016,0.333,1.84783614802883e-05,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CD3E",6.40399085051673e-10,-3.56991333512839,0.035,0.5,1.95161621169497e-05,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"RUBCNL",8.31430110159586e-10,-6.17687964274897,0.004,0.167,2.53378326071134e-05,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CPM",8.46118201812605e-10,-6.65214525305264,0.016,0.333,2.57854522002391e-05,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"LY75",1.42207926547779e-09,-4.51940389311138,0.017,0.333,4.33378656154357e-05,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CD37",1.91873427457742e-09,-3.74168967340959,0.037,0.5,5.8473427017747e-05,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"JAK3",2.47851897778147e-09,-5.12307719584992,0.017,0.333,7.55328658478903e-05,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"BATF",3.11248470104919e-09,-2.50634150533094,0.037,0.5,9.48529712644741e-05,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"MIR646HG",3.65933118261444e-09,-6.34894284460251,0.004,0.167,0.000111518117790175,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"EPSTI1",3.6811131772621e-09,-5.53333027739374,0.04,0.5,0.000112181924077063,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"RASGRP3",5.57925794331184e-09,-6.5877129989368,0.005,0.167,0.000170027885822428,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PIK3R5",6.52610032650694e-09,-3.60754603807198,0.018,0.333,0.000198882907450299,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"EVI2A",1.18050134846098e-08,-4.27174355540742,0.019,0.333,0.000359757785943483,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"SAMSN1",1.25607026426403e-08,-4.44842141853133,0.042,0.5,0.000382787413034463,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PTCHD1-AS",1.27251613923671e-08,-7.15515275609963,0.005,0.167,0.000387799293432387,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AQP9",1.43067782545583e-08,-4.91251714457331,0.005,0.167,0.000435999067307665,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"ARHGAP25",1.50934507988451e-08,-4.07583069194224,0.019,0.333,0.000459972913094806,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AC024230.1",1.54655921307321e-08,-5.15058996251131,0.005,0.167,0.00047131392018406,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PTPN22",1.8307028883063e-08,-5.58280390311494,0.019,0.333,0.000557906705211346,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AC092115.3",1.90529697696013e-08,-6.66625091604889,0.005,0.167,0.000580639253728601,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PDE4B",1.92968214917261e-08,-5.31033014444255,0.044,0.5,0.000588070634960354,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"GNA15",1.9346465648147e-08,-5.98320106917146,0.005,0.167,0.000589583540627279,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"FABP5",1.96986926943276e-08,-5.26699684891882,0.044,0.5,0.000600317659859635,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AC084816.1",2.80269690127783e-08,-6.52689588445334,0.005,0.167,0.000854121880664418,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
