"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"TECPR1",3.611328944144e-06,-0.989056680377229,0.029,0.056,0.110055249572788,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"AHCTF1",3.63522251983971e-06,-0.746676825419502,0.266,0.318,0.110783406292115,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"DUSP11",3.65350897845229e-06,0.234947629867125,0.229,0.16,0.111340686118334,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"GNA12",3.66034591104389e-06,0.288569248254677,0.224,0.157,0.111549041639063,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"GBP1",3.66974640335238e-06,0.259091512827058,0.125,0.072,0.111835521642164,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"NR1D2",3.72513576905231e-06,-0.638203184765584,0.267,0.318,0.113523512561869,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"TFCP2",3.75224952840166e-06,-1.10872626582725,0.128,0.174,0.114349804378041,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"PPARG",3.75495811038827e-06,-1.45648042824903,0.03,0.058,0.114432348414082,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"BORCS6",3.77029703386781e-06,0.6560617266618,0.089,0.046,0.114899802107122,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"RXRB",3.78724893436941e-06,0.62748304861276,0.111,0.062,0.115416411274908,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"MFSD5",3.80911133912281e-06,1.05098193457193,0.075,0.036,0.116082668059768,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"MRM3",3.81965466660466e-06,0.822975153916682,0.093,0.049,0.116403975964777,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"ERCC5",3.88719599613119e-06,0.317074209794491,0.22,0.154,0.118462297982098,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"TTPAL",3.89197619432549e-06,0.593517665752173,0.111,0.063,0.118607974522069,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"MICALL2",3.90623827703367e-06,1.20550321936112,0.064,0.028,0.119042611492601,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"TRIM52-AS1",3.95741534062558e-06,1.02658598051421,0.083,0.042,0.120602232505565,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"SLC27A5",3.96475163437034e-06,0.922243393697182,0.078,0.038,0.120825806057436,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"MYCBP2-AS1",3.97586899789117e-06,-1.11367478863121,0.061,0.097,0.121164607710733,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"KCTD10",3.9760358168122e-06,0.685829991007177,0.095,0.051,0.121169691517352,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"MED27",3.97942417635606e-06,-0.859665176701412,0.15,0.197,0.121272951774451,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"TCAIM",3.99764007801804e-06,0.660721344009588,0.102,0.055,0.1218280813776,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"AC025682.1",4.0115207821881e-06,-1.21922723434967,0.038,0.068,0.122251095837182,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
