"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","target_gene","source"
"GO:0070935","3'-UTR-mediated mRNA stabilization","3/137","29/18986",0.103448275862069,14.3362698212937,6.1273119949963,0.00117065430926668,0.0431445493980457,0.0369144539626883,"3183/10865/55544",3,"SIRT1","GO_BP"
"GO:0061013","regulation of mRNA catabolic process","8/137","289/18986",0.027681660899654,3.8362336776703,4.142155455942,0.00120238925799947,0.0436810840441806,0.0373735127260887,"56829/246175/3183/26986/10865/23112/27161/55544",8,"SIRT1","GO_BP"
"GO:0002181","cytoplasmic translation","6/137","165/18986",0.0363636363636364,5.03941605839416,4.44283965452328,0.00126648653439658,0.0453616233376126,0.0388113812690545,"6224/6157/26986/23521/8661/6160",6,"SIRT1","GO_BP"
"GO:0070372","regulation of ERK1 and ERK2 cascade","8/137","296/18986",0.027027027027027,3.74551193529296,4.05869080827629,0.00139961717099483,0.0494337009144425,0.0422954487199754,"1236/7040/7430/673/5604/10048/8661/2043",8,"SIRT1","GO_BP"
"GO:0051250","negative regulation of lymphocyte activation","6/137","169/18986",0.0355029585798817,4.92013993866886,4.36406446651004,0.00143158565659748,0.0497734490924899,0.0425861370839153,"7040/864/3659/4092/83593/7805",6,"SIRT1","GO_BP"
"GO:0006457","protein folding","7/137","231/18986",0.0303030303030303,4.19951338199513,4.17112124278515,0.00145493800884767,0.0497734490924899,0.0425861370839153,"3320/10808/3301/3337/3304/56605/3303",7,"SIRT1","GO_BP"
"GO:0060760","positive regulation of response to cytokine stimulus","4/137","68/18986",0.0588235294117647,8.15199656504938,5.03692599564128,0.00147798932161089,0.0497734490924899,0.0425861370839153,"3304/7852/3303/7805",4,"SIRT1","GO_BP"
"GO:2000058","regulation of ubiquitin-dependent protein catabolic process","6/137","171/18986",0.0350877192982456,4.86259444231015,4.32560125170712,0.00152005248791137,0.0497734490924899,0.0425861370839153,"3304/23429/51322/4092/3303/7805",6,"SIRT1","GO_BP"
"GO:0034605","cellular response to heat","4/137","69/18986",0.0579710144927536,8.03385168729504,4.99014364484367,0.00156026163041696,0.0497734490924899,0.0425861370839153,"3320/3337/3304/3303",4,"SIRT1","GO_BP"
"GO:0048679","regulation of axon regeneration","3/137","32/18986",0.09375,12.9922445255474,5.78823897780654,0.00156417554329003,0.0497734490924899,0.0425861370839153,"673/5604/2043",3,"SIRT1","GO_BP"
"GO:0060325","face morphogenesis","3/137","32/18986",0.09375,12.9922445255474,5.78823897780654,0.00156417554329003,0.0497734490924899,0.0425861370839153,"7040/29123/6497",3,"SIRT1","GO_BP"
"GO:0043409","negative regulation of MAPK cascade","6/137","172/18986",0.0348837209302326,4.83432354438975,4.30659306824405,0.00156581829626394,0.0497734490924899,0.0425861370839153,"3301/7430/80824/10048/8661/2043",6,"SIRT1","GO_BP"
"GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","15/133","425/18986",0.0352941176470588,5.03830163644405,7.07185621592482,3.03317666347786e-07,0.000729175669900077,0.000616852348825182,"9863/6711/857/2719/11030/8516/4093/4774/91851/8425/6422/27122/5654/1278/4681",15,"PRKAA2","GO_BP"
"GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","13/133","397/18986",0.0327455919395466,4.67449480123483,6.21449387617535,4.44300741342951e-06,0.0024502771265781,0.00207283273865877,"9863/857/2719/8516/4093/4774/91851/8425/6422/27122/5654/1278/4681",13,"PRKAA2","GO_BP"
"GO:0030198","extracellular matrix organization","12/133","339/18986",0.0353982300884956,5.05316388315923,6.32456143059481,4.79986195818051e-06,0.0024502771265781,0.00207283273865877,"165/23768/7373/1306/857/8516/323/57188/8425/1513/1278/2192",12,"PRKAA2","GO_BP"
"GO:0043062","extracellular structure organization","12/133","340/18986",0.0352941176470588,5.03830163644405,6.3108267974998,4.94610173639931e-06,0.0024502771265781,0.00207283273865877,"165/23768/7373/1306/857/8516/323/57188/8425/1513/1278/2192",12,"PRKAA2","GO_BP"
"GO:0045229","external encapsulating structure organization","12/133","341/18986",0.0351906158357771,5.02352655833131,6.29714589659727,5.0962502632656e-06,0.0024502771265781,0.00207283273865877,"165/23768/7373/1306/857/8516/323/57188/8425/1513/1278/2192",12,"PRKAA2","GO_BP"
