"tf","tf_group","NES","sample","status","vsmc_state","cells"
"ATF7","MCA-R2--Ruptured--metabolic-stress VSMC",3.72855232609664,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"ATF7","MCA-R2--Ruptured--synthetic VSMC",3.73257075902503,"MCA_R2","Ruptured","synthetic VSMC",29
"ATF7","STA1--STA--ECM-remodeling VSMC",4.94771495056404,"STA1","STA","ECM-remodeling VSMC",637
"ATF7","STA1--STA--contractile VSMC",3.76185131042263,"STA1","STA","contractile VSMC",1019
"ATF7","STA1--STA--inflammatory VSMC",3.92954730108463,"STA1","STA","inflammatory VSMC",148
"ATF7","STA1--STA--metabolic-stress VSMC",4.03613887285724,"STA1","STA","metabolic-stress VSMC",1432
"ATF7","STA1--STA--synthetic VSMC",3.76096622058539,"STA1","STA","synthetic VSMC",1049
"ATF7","STA2--STA--ECM-remodeling VSMC",4.67689177052893,"STA2","STA","ECM-remodeling VSMC",459
"ATF7","STA2--STA--contractile VSMC",3.95239105777979,"STA2","STA","contractile VSMC",989
"ATF7","STA2--STA--inflammatory VSMC",3.64335741832328,"STA2","STA","inflammatory VSMC",378
