"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.66968450007395e-17,0.486940106958023,0.864,0.756,8.13586351397536e-13,"contractile VSMC","RPS27L"
3.03658375769142e-17,0.950775741293563,0.734,0.597,9.25398900156462e-13,"contractile VSMC","PRELP"
3.53898654608769e-17,0.507718885416879,0.747,0.572,1.07850614992022e-12,"contractile VSMC","GAS6"
5.64158315073243e-17,0.925188809404757,0.629,0.488,1.71927246518571e-12,"contractile VSMC","AEBP1"
5.80361583850639e-17,0.428035419990181,0.735,0.644,1.76865192678482e-12,"contractile VSMC","PRDX6"
6.05277666237307e-17,0.584016923230609,0.594,0.473,1.84458368785819e-12,"contractile VSMC","CTSF"
6.44116375723761e-17,0.581968937623452,0.688,0.596,1.96294465501816e-12,"contractile VSMC","MICOS10"
7.56176057981693e-17,0.509353336389884,0.715,0.618,2.30444653669921e-12,"contractile VSMC","ATP5PF"
8.43725269641215e-17,0.709785419828579,0.652,0.511,2.5712527592316e-12,"contractile VSMC","PLTP"
1.11142897995442e-16,0.409983755044992,0.747,0.664,3.38707981641109e-12,"contractile VSMC","RAC1"
1.87407518334137e-16,0.481696827759329,0.711,0.604,5.71124412123284e-12,"contractile VSMC","SRI"
