"","ACom_RR","MCA_R1","MCA_R2","STA1","STA2","STA3"
"AL357500.1",3,1,0,6,3,0
"SRSF4",967,694,436,3963,1673,22
"MECR",18,14,23,551,351,4
"PTPRU",25,0,33,263,141,1
"LINC01756",0,0,0,4,0,0
"AL645944.2",0,0,0,0,0,0
"LINC01648",0,0,0,0,0,0
"MATN1",18,4,1,28,27,0
"MATN1-AS1",11,18,13,57,53,0
"AL137857.1",5,1,0,4,2,0
"LAPTM5",1644,556,382,145,286,22
"AL137027.1",0,0,0,1,0,0
"LINC01778",1,0,0,2,4,0
"SDC3",14,6,14,398,143,5
"PUM1",842,787,408,2783,1428,11
"NKAIN1",7,2,0,18,15,1
"SNRNP40",293,149,114,2351,988,3
"ZCCHC17",225,186,124,1128,743,12
"AL451070.1",26,30,10,28,16,0
"FABP3",352,8,9,213,266,2
"SERINC2",19,2,3,28,18,1
"LINC01226",6,2,1,3,11,0
"AC114488.1",0,0,0,2,0,0
"TINAGL1",46,4,13,245,170,26
"HCRTR1",4,3,1,8,2,0
"PEF1",119,46,39,1686,905,8
"AC114488.2",7,4,1,31,3,0
"AC114488.3",3,0,0,5,0,0
"COL16A1",32,3,123,2042,1553,15
"ADGRB2",3,0,0,8,9,2
"AL354919.2",0,0,0,5,1,0
"SPOCD1",12,2,6,11,5,2
"AL354919.1",0,3,0,4,1,0
"AL136115.2",32,25,7,77,16,1
"PTP4A2",1031,532,552,6152,2151,28
"AL136115.1",2,3,0,3,0,0
"AL136115.3",2,0,0,1,0,0
"KHDRBS1",802,485,400,3360,1817,27
"AL445248.1",79,56,29,55,20,4
"TMEM39B",55,22,20,634,366,4
"KPNA6",409,355,155,1156,692,10
"AL049795.2",0,2,0,5,2,1
"TXLNA",171,110,108,1383,930,9
"CCDC28B",42,14,20,455,326,2
"AL049795.1",0,0,0,6,9,0
"IQCC",6,2,4,31,30,1
"DCDC2B",5,8,5,10,3,0
"TMEM234",31,15,18,335,311,3
"EIF3I",515,146,289,4219,3365,13
"FAM167B",1,0,6,28,61,0
"LCK",427,366,223,132,162,5
"HDAC1",329,217,109,270,202,39
"MARCKSL1",707,121,149,743,578,5
"TSSK3",5,6,2,48,29,0
"FAM229A",27,6,19,72,50,1
"BSDC1",218,177,106,955,603,8
"ZBTB8B",1,0,0,2,1,0
"ZBTB8A",11,8,7,929,325,4
"ZBTB8OS",207,257,193,1926,1435,7
"RBBP4",407,288,269,2444,1257,13
"SYNC",103,55,39,820,251,7
"AC114489.1",0,0,0,1,0,0
"KIAA1522",13,9,4,198,75,1
"YARS",352,342,151,1014,325,4
"S100PBP",269,134,67,969,461,12
"FNDC5",6,0,0,378,129,0
"HPCA",0,0,0,10,5,0
"TMEM54",53,0,25,1183,916,2
"AL031602.2",171,74,108,103,60,10
"RNF19B",311,131,102,353,197,15
"AL020995.1",31,38,32,83,24,0
"AK2",201,71,148,1494,1468,5
"AZIN2",61,14,19,255,102,3
"TRIM62",54,69,26,111,43,0
"AL662907.3",4,0,0,4,1,0
"ZNF362",34,23,27,408,204,4
"A3GALT2",3,1,1,32,12,0
"AL513327.1",15,44,40,73,49,2
"PHC2",227,72,400,2076,1409,10
"AL513327.2",1,1,3,16,8,0
"ZSCAN20",2,2,4,67,40,0
"CSMD2",12,1,4,102,92,2
"C1orf94",0,0,0,0,0,0
"AC099565.1",0,0,0,1,0,0
"SMIM12",121,64,88,1183,840,7
"GJB5",0,0,0,0,0,0
"GJB3",0,0,0,0,0,0
"GJA4",4,0,5,70,65,2
"DLGAP3",5,4,1,3,9,1
"TMEM35B",167,118,171,7144,8189,10
"ZMYM6",125,79,87,978,517,10
"ZMYM1",50,33,47,666,548,6
"AL590434.1",22,0,0,15,3,6
"SFPQ",1930,992,954,5855,3717,46
"ZMYM4",236,158,143,1878,1042,8
"ZMYM4-AS1",6,17,8,93,13,1
"KIAA0319L",306,178,146,771,434,5
"NCDN",38,25,14,220,176,0
"AC004865.2",16,20,2,17,36,0
"TFAP2E",30,19,12,62,17,0
"PSMB2",367,136,301,3886,3166,15
"C1orf216",18,8,17,412,163,2
"CLSPN",43,19,10,28,13,1
"AL354864.1",1,0,0,0,0,0
"AGO4",167,152,98,608,365,6
"AGO1",105,69,56,324,176,1
"AL139286.3",3,10,4,4,1,0
"AL139286.2",0,0,0,5,4,0
"AGO3",1027,664,326,2363,1077,26
