"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"STX18-AS1",-0.118722248129245,2.57909898359777,-0.262297965261859,0.799097314425221,0.850277453762759,-6.57088884785038
"C19orf47",0.140935503460292,2.05075425720096,0.261930506027565,0.799371699691963,0.850506365530979,-6.40263006339368
"AC138150.1",0.0946622864416793,3.74644884753205,0.261764789929115,0.799495451007496,0.850574985455203,-6.69934737199046
"ACTR6",-0.092792628044001,5.10301616869114,-0.261282752138064,0.799855454623188,0.850830333074354,-6.85506841373622
"ALDH18A1",-0.118610979711143,3.6317763238841,-0.26113598806894,0.799965073397197,0.850830333074354,-6.73689295830735
"BAIAP2L1",0.192577008774742,2.97937650950848,0.261651058345163,0.799968301636184,0.850830333074354,-6.60748639277605
"CEP19",0.12852361192564,2.60317812811694,0.261125960227027,0.799972563408909,0.850830333074354,-6.58348571946379
"PSME3",0.0791781637148468,4.22301408471534,0.259785496170679,0.800973979656407,0.851832296361271,-6.78191050512012
"LENG8-AS1",0.11332708577868,2.64209132760518,0.259551132289793,0.801149104761152,0.851910256835947,-6.55605956405118
"MAN1C1",-0.0786731827356109,5.62989794551589,-0.259528542103923,0.801165985580915,0.851910256835947,-6.84705524144701
"CGGBP1",-0.0785911978450802,6.63223706536091,-0.259368350138028,0.801285694314522,0.8519744337919,-6.85292886263136
"GTPBP3",-0.102435587403996,2.84410892561095,-0.258938223713479,0.801607147655103,0.852253092174013,-6.5895770826843
"PGP",0.0750819721225202,5.0085559593627,0.258796692147904,0.801712929381397,0.852302428406205,-6.84350579018257
"THRAP3",0.0832593622853279,7.06674976026867,0.258696928049814,0.801787496369318,0.852318575345122,-6.8523417736827
"CTBP1-DT",0.121197833560019,2.49028077196557,0.258489933291797,0.801942217881298,0.852419919688104,-6.55830401192072
"NEURL1",-0.147485964986654,1.87518882967425,-0.257598660425091,0.802608518291906,0.853051288972076,-6.3672585323483
"AL096803.2",0.205743378581407,2.40726912969657,0.257741936501314,0.802655058440634,0.853051288972076,-6.48398075780807
"FCF1",-0.0847647025632599,4.750235147307,-0.257434482929953,0.802731273041063,0.853069126618155,-6.83281991859105
"DUS1L",-0.0800720791818668,4.64090116030097,-0.257238272438648,0.802877986230646,0.853161875507455,-6.8296611403401
"SKIV2L",0.122324582806873,2.79216380766067,0.256940264380972,0.803100832534606,0.853335505973923,-6.62619246428308
"SLC25A5",-0.106321923308304,7.29045164712821,-0.256657821220575,0.80331205702505,0.853496762882129,-6.85389300690672
"PPP2R3A",-0.0998348807324003,4.89033756592754,-0.256374771590387,0.803523752034579,0.85365849579634,-6.81880794274171
"NAIF1",0.115340219458443,2.20713743850418,0.25618689916745,0.80366427264679,0.853744595142985,-6.45758747694817
"SDHB",-0.0933692745391959,5.38969646897328,-0.255938966049147,0.803849727551364,0.853858927833367,-6.85526812573114
"ETS2",-0.167735569597315,5.62930047066257,-0.256957363200664,0.803938175321412,0.853858927833367,-6.84433895861659
"ECE1",-0.101784703867212,6.59647625076537,-0.255804444022363,0.803950355975195,0.853858927833367,-6.85378067492346
"TEPSIN",0.0900257031294909,2.87666936440266,0.255421815862367,0.804236599668185,0.854099744868092,-6.60547095921076
"AGRN",-0.260987191987448,1.24687019182574,-0.255072548892313,0.804497912879705,0.854314052043744,-6.17232192442668
"PGD",-0.103013645471983,4.35739889482541,-0.254454807840853,0.804960154954472,0.854667413138332,-6.82653397113235
"IPO4",-0.157550188423512,1.82841775839384,-0.254451333401366,0.804962755028539,0.854667413138332,-6.39415282685186
"CASP9",-0.0934070255216786,3.63026090938355,-0.254317507967856,0.805062904349169,0.854667413138332,-6.70508045127135
"FAM184A",0.112465131899291,5.10861118759539,0.254287379070255,0.805104467060554,0.854667413138332,-6.84983657252672
"HNRNPF",-0.0955636270767268,7.12196153630889,-0.254230018823759,0.805128379577576,0.854667413138332,-6.85471238739935
"ALDH5A1",-0.152652485510855,1.4697841823225,-0.254126052835162,0.805206187858518,0.854686801783714,-6.30220659289047
"GAS2L3",-0.233816851088877,1.17576220904408,-0.253844431440321,0.805416965084259,0.854847317126549,-6.1574177153704
"PHKG2",0.0774476193220517,3.93978028758825,0.253550311099435,0.805637114819096,0.855017755720023,-6.75917351634632
"REXO4",0.0722789980190317,4.32370261398149,0.253339833125638,0.805794669192561,0.855121741948102,-6.82105934495308
"UBQLN4",0.102592930175719,3.3696355730769,0.25315108074029,0.805935968660702,0.855208464120331,-6.65816677907879
"YEATS4",0.117840533183851,3.79212253441422,0.252768898724579,0.806240987154771,0.855468888942902,-6.79461783853272
"TNFSF13B",-0.0847553560912946,4.58678024557153,-0.252632285031669,0.806324375988928,0.855494130604263,-6.81623957073196
"AL161421.1",0.21849804965842,1.77379623515625,0.252007576226063,0.806792152036736,0.855927165582801,-6.35759737709008
"GEMIN7-AS1",0.17213470850515,2.10435582654049,0.251167642646952,0.807421214607744,0.856531233055913,-6.38127228401272
"VEGFA",-0.342604099530162,6.88508807442613,-0.255214870092049,0.807574068245546,0.856630075051475,-6.85278899781743
"PREPL",-0.0670915678546651,5.43480082257382,-0.250765936840655,0.807722121332506,0.856723810655937,-6.85319676827435
"RNPS1",-0.0970023176670853,6.05073320925396,-0.250566654482934,0.807871410678166,0.856791035759419,-6.8567308953059
"RPL3",0.127683184234984,10.717164068019,0.250521976691294,0.807904881496707,0.856791035759419,-6.80147255726029
"TVP23B",-0.0690053132974464,4.52037885589995,-0.250200684958144,0.808145592632172,0.856982996205836,-6.82732359737894
"UBE2A",0.0888796062207762,5.9045554946649,0.249910568101101,0.808362965987369,0.857150182003597,-6.86027747445663
"BAK1",0.118313225352242,2.67650162609395,0.249687689957253,0.808529971804378,0.85721521209127,-6.55209292535192
"AP5B1",-0.124492256804284,2.31629611932516,-0.249669324310739,0.808543733907183,0.85721521209127,-6.5129630143026
"THOP1",-0.109991680072668,2.83953410024516,-0.249361566938102,0.808774359009776,0.857396392114204,-6.56673248931266
"TMEM50A",0.123545964587439,7.64143084170598,0.249007231561698,0.809039912643017,0.857614571012323,-6.85105677440886
"ICAM1",0.147318442536058,5.3105141976351,0.249595033602851,0.80920794392997,0.857684160270178,-6.84289775935336
"RNF123",0.126366221305108,1.76332910195054,0.248760198268086,0.809225064967188,0.857684160270178,-6.39250623164471
"UNC79",-0.224064228796105,1.76627788256895,-0.247811201618957,0.809936458157023,0.858374772621523,-6.25379118031558
"DKK3",-0.250522476560424,5.20595708129076,-0.250655025500681,0.810126774465751,0.858513083845064,-6.82331632518243
"PRMT3",0.0867896856732946,4.38937435680152,0.247249657550314,0.810357493703468,0.858694187554967,-6.80648842273851
"CH25H",-0.291249129192494,2.89874069022573,-0.249358847835498,0.810417962971857,0.858694872702298,-6.56533486271906
"PI4KB",0.0718416473545309,4.77378894030596,0.246960086342657,0.81057463420001,0.858777579664614,-6.8351467846291
"RPP38",0.0719301540155177,4.8483703448558,0.246905355701111,0.81061567694551,0.858777579664614,-6.84741779746222
"ENPP1",0.254833714590608,2.99613552265943,0.248131415328143,0.811080430976444,0.859121436774964,-6.6011933742519
"PARP1",0.0817244293493014,4.9020087039251,0.246242296657224,0.811112956468412,0.859121436774964,-6.84449334693839
"CERS4",-0.0691632011795864,4.4234773350149,-0.246233163041383,0.811119807104243,0.859121436774964,-6.8102921345077
"AL162377.1",-0.208048257653271,2.35449615578729,-0.246207334065277,0.811335535376356,0.859286525108257,-6.4550048773755
"EDEM3",-0.0781622302103093,5.71472636866395,-0.245741840387033,0.811488346985903,0.859384958878239,-6.85420361571974
"POLR1D",-0.0854801430790948,6.7625692794947,-0.245575677221203,0.811612996693272,0.859440343609207,-6.85691098195889
"HSPA5",-0.185338255473047,8.62829653683858,-0.246269582133998,0.811679727571816,0.859440343609207,-6.85995182708081
"EIF2A",-0.0720077967721098,6.21473255576056,-0.245423056802436,0.811727492067104,0.859440343609207,-6.85618239106024
"NFYC-AS1",0.176574621073057,1.23271736770711,0.245352875550665,0.811780143420205,0.859440343609207,-6.22041689001934
"APOO",0.100095305325439,3.44427313908217,0.244968339333471,0.81206864782469,0.859682378558566,-6.71515998901296
"AC009107.2",0.0773615505812577,3.75020704427566,0.244816722342454,0.812182409141749,0.859739402715388,-6.75075544455627
"AC009061.2",0.13766540391019,2.51914344496133,0.243915327784637,0.812858840132166,0.860375851161653,-6.49728276673405
"TRPC4",0.328829460392042,1.04734124689674,0.244208455515845,0.812903531660467,0.860375851161653,-6.16718048789699
"RTEL1",-0.131595254402056,2.19375869721096,-0.243330207388891,0.813298018445659,0.860697645961112,-6.45061730310471
"MAEA",0.0719898190911117,5.20599770413716,0.243290938255009,0.813327495458863,0.860697645961112,-6.84923126260245
"RBBP6",-0.0943378439513491,6.75311442966628,-0.242879746894667,0.813636171152836,0.86096082570791,-6.85744050528992
"MUC20",-0.169621766530161,1.74566076733197,-0.242735174360566,0.813744707866043,0.861012202322658,-6.30716039911261
"INTS1",-0.0851191911170179,3.55013000548981,-0.242413919738201,0.81398590236545,0.861203924416132,-6.72935704380241
"RO60",0.0712923728116142,6.01583970066287,0.241969505524638,0.814319597989444,0.861403739802898,-6.85792539399125
"C8orf37-AS1",0.109765377221331,2.61235917583987,0.241925139858268,0.814352912849425,0.861403739802898,-6.54956479456072
"ATP5MG",0.105321794350546,8.52147507634916,0.241922631386165,0.814354796511448,0.861403739802898,-6.85602576439173
"TOMM20",0.0858476146024678,7.58649303111609,0.241744895135798,0.814488265444107,0.861481435574734,-6.85553522878292
"CSMD1",0.357615113775222,1.04294588921498,0.241926886218683,0.81491618810567,0.861870539645505,-6.18687596028073
"ITFG2",-0.0779791163195567,4.67379235810319,-0.240995434611842,0.815051133644625,0.861949751148232,-6.81908162689326
"GALNT4",0.0969667443138951,3.07526589638972,0.240912095551343,0.815113730827173,0.861952445284606,-6.61509341017331
"MCAM",-0.232668785634762,3.68959777258241,-0.242586521091794,0.815248328734563,0.862031271503198,-6.61487330673059
"SLC35F1",-0.414568030499557,4.82308639649596,-0.24473471316176,0.815475506910884,0.862207971876755,-6.8146771647532
"ZBTB20",0.0847602180251172,9.22347365890808,0.24032980466319,0.815551136750009,0.862222654074973,-6.84589523052802
"QKI",-0.0835136035774999,8.00721435886755,-0.240252075922096,0.815609530237564,0.862222654074973,-6.86138529915207
"UTP25",-0.0983444057274925,3.44688062990911,-0.239534310664726,0.816148806204981,0.862692593626954,-6.74075843365835
"COX7A2",-0.112750869092446,8.07248214951878,-0.239500426900041,0.816174266507875,0.862692593626954,-6.86231377431043
"NSF",0.0667569482794539,5.19610753121845,0.238989485683254,0.816558216056285,0.86303487469788,-6.85424533121097
"CACTIN",-0.0939993786999502,2.73054544998963,-0.23845627558986,0.816958954962738,0.863394849030713,-6.54885992084779
